Year,Domain,PackageType,ExamNum,DownloadFile,RepoVersion,MasterCard,TotalQuestions,Status,Notes
3,NUMERACY,FREE,1,V54__seed_y3_num_free_exam01.sql,V54,MC54,96,PUBLISHED,CANONICAL
3,NUMERACY,ADVANCED,1,V55__seed_y3_num_advanced_exam01.sql,V55,MC55,96,PUBLISHED,CANONICAL
3,NUMERACY,ADVANCED,2,V56__seed_y3_num_advanced_exam02.sql,V56,MC56,96,PUBLISHED,CANONICAL
3,NUMERACY,ADVANCED,3,V57__seed_y3_num_advanced_exam03.sql,V58,MC57,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,ADVANCED,4,V58__seed_y3_num_advanced_exam04.sql,V59,MC58,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,ADVANCED,5,V59__seed_y3_num_advanced_exam05.sql,V60,MC59,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,1,V60__seed_y3_num_premium_exam01.sql,V61,MC60,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,2,V61__seed_y3_num_premium_exam02.sql,V62,MC61,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,3,V62__seed_y3_num_premium_exam03.sql,V63,MC62,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,4,V63__seed_y3_num_premium_exam04.sql,V64,MC63,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,5,V64__seed_y3_num_premium_exam05.sql,V65,MC64,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,6,V65__seed_y3_num_premium_exam06.sql,V66,MC65,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,7,V66__seed_y3_num_premium_exam07.sql,V67,MC66,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,8,V67__seed_y3_num_premium_exam08.sql,V68,MC67,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,9,V68__seed_y3_num_premium_exam09.sql,V69,MC68,96,PUBLISHED,P0:calculator_allowed_missing
3,NUMERACY,PREMIUM,10,V69__seed_y3_num_premium_exam10.sql,V70,MC69,96,PUBLISHED,P0:calculator_allowed_missing
3,READING,FREE,1,V70__seed_y3_read_free_exam01.sql,V71,MC70,104,PUBLISHED,
3,READING,ADVANCED,1,V71__seed_y3_read_advanced_exam01.sql,V72,MC71,104,PUBLISHED,
3,READING,ADVANCED,2,V72__seed_y3_read_advanced_exam02.sql,V73,MC72,104,PUBLISHED,
3,READING,ADVANCED,3,V73__seed_y3_read_advanced_exam03.sql,V74,MC73,104,PUBLISHED,
