CONTENT FLYWAY MIGRATION SEQUENCE
Generated: 2026-08-14
Audit: NAPLANPrep Production QA Audit
================================================================================

BATCH 1 DIRECTORY: NAPLANPrep_Batch1_V54_V214\flyway\
BATCH 2 DIRECTORY: NAPLANPrep_MasterBatch2_V215_V374\

NOTE: Batch 1 files use DOWNLOAD version numbers in filenames.
      Repo version = Download version + 1 for files V57+ (due to V57 DDL shift).
      Backend V57__add_question_calculator_flag.sql occupies Repo slot V57.

--------------------------------------------------------------------------------
SEQ  REPO_V  DOWNLOAD_FILE                                      BATCH  STATUS
--------------------------------------------------------------------------------
1    V54     V54__seed_y3_num_*.sql                             B1     OK (CANONICAL)
2    V55     V55__seed_y3_num_*.sql                             B1     OK (CANONICAL)
3    V56     V56__seed_y3_num_*.sql                             B1     OK (CANONICAL)

[V57 = DDL migration V57__add_question_calculator_flag.sql — in backend repo, NOT in content batch]

4    V58     V57__seed_y3_num_advanced_exam03.sql               B1     P0:calc_missing
5    V59     V58__seed_y3_num_advanced_exam04.sql               B1     P0:calc_missing
6    V60     V59__seed_y3_num_advanced_exam05.sql               B1     P0:calc_missing
7    V61     V60__seed_y3_num_premium_exam01.sql                B1     P0:calc_missing
8    V62     V61__seed_y3_num_premium_exam02.sql                B1     P0:calc_missing
9    V63     V62__seed_y3_num_premium_exam03.sql                B1     P0:calc_missing
10   V64     V63__seed_y3_num_premium_exam04.sql                B1     P0:calc_missing
11   V65     V64__seed_y3_num_premium_exam05.sql                B1     P0:calc_missing
12   V66     V65__seed_y3_num_premium_exam06.sql                B1     P0:calc_missing
13   V67     V66__seed_y3_num_premium_exam07.sql                B1     P0:calc_missing
14   V68     V67__seed_y3_num_premium_exam08.sql                B1     P0:calc_missing
15   V69     V68__seed_y3_num_premium_exam09.sql                B1     P0:calc_missing
16   V70     V69__seed_y3_num_premium_exam10.sql                B1     P0:calc_missing
17   V71     V70__seed_y3_read_free_exam01.sql                  B1     OK
18   V72     V71__seed_y3_read_advanced_exam01.sql              B1     OK
19   V73     V72__seed_y3_read_advanced_exam02.sql              B1     OK
20   V74     V73__seed_y3_read_advanced_exam03.sql              B1     OK
21   V75     V74__seed_y3_read_advanced_exam04.sql              B1     OK
22   V76     V75__seed_y3_read_advanced_exam05.sql              B1     OK
23   V77     V76__seed_y3_read_premium_exam01.sql               B1     OK
24   V78     V77__seed_y3_read_premium_exam02.sql               B1     OK
25   V79     V78__seed_y3_read_premium_exam03.sql               B1     OK
26   V80     V79__seed_y3_read_premium_exam04.sql               B1     OK
27   V81     V80__seed_y3_read_premium_exam05.sql               B1     OK
28   V82     V81__seed_y3_read_premium_exam06.sql               B1     OK
29   V83     V82__seed_y3_read_premium_exam07.sql               B1     OK
30   V84     V83__seed_y3_read_premium_exam08.sql               B1     OK
31   V85     V84__seed_y3_read_premium_exam09.sql               B1     OK
32   V86     V85__seed_y3_read_premium_exam10.sql               B1     OK
33   V87     V86__seed_y3_writ_free_exam01.sql                  B1     OK
34   V88     V87__seed_y3_writ_advanced_exam01.sql              B1     OK
35   V89     V88__seed_y3_writ_advanced_exam02.sql              B1     OK
36   V90     V89__seed_y3_writ_advanced_exam03.sql              B1     OK
37   V91     V90__seed_y3_writ_advanced_exam04.sql              B1     OK
38   V92     V91__seed_y3_writ_advanced_exam05.sql              B1     OK
39   V93     V92__seed_y3_writ_premium_exam01.sql               B1     OK
40   V94     V93__seed_y3_writ_premium_exam02.sql               B1     OK
41   V95     V94__seed_y3_writ_premium_exam03.sql               B1     OK
42   V96     V95__seed_y3_writ_premium_exam04.sql               B1     OK
43   V97     V96__seed_y3_writ_premium_exam05.sql               B1     OK
44   V98     V97__seed_y3_writ_premium_exam06.sql               B1     OK
45   V99     V98__seed_y3_writ_premium_exam07.sql               B1     OK
46   V100    V99__seed_y3_writ_premium_exam08.sql               B1     OK
47   V101    V100__seed_y3_writ_premium_exam09.sql              B1     OK
48   V102    V101__seed_y3_writ_premium_exam10.sql              B1     OK
49   V103    V102__seed_y3_gp_free_exam01.sql                   B1     OK
50   V104    V103__seed_y3_gp_advanced_exam01.sql               B1     OK
51   V105    V104__seed_y3_gp_advanced_exam02.sql               B1     OK
52   V106    V105__seed_y3_gp_advanced_exam03.sql               B1     OK
53   V107    V106__seed_y3_gp_advanced_exam04.sql               B1     OK
54   V108    V107__seed_y3_gp_advanced_exam05.sql               B1     OK
55   V109    V108__seed_y3_gp_premium_exam01.sql                B1     OK
56   V110    V109__seed_y3_gp_premium_exam02.sql                B1     OK
57   V111    V110__seed_y3_gp_premium_exam03.sql                B1     OK
58   V112    V111__seed_y3_gp_premium_exam04.sql                B1     OK
59   V113    V112__seed_y3_gp_premium_exam05.sql                B1     OK
60   V114    V113__seed_y3_gp_premium_exam06.sql                B1     OK
61   V115    V114__seed_y3_gp_premium_exam07.sql                B1     OK
62   V116    V115__seed_y3_gp_premium_exam08.sql                B1     OK
63   V117    V116__seed_y3_gp_premium_exam09.sql                B1     OK
64   V118    V117__seed_y3_gp_premium_exam10.sql                B1     OK
65   V119    V118__seed_y3_spell_free_exam01.sql                B1     P1:testlet_names_ns
66   V120    V119__seed_y3_spell_advanced_exam01.sql            B1     P1:testlet_names_ns
67   V121    V120__seed_y3_spell_advanced_exam02.sql            B1     P1:testlet_names_ns
68   V122    V121__seed_y3_spell_advanced_exam03.sql            B1     P1:testlet_names_ns
